case_name,RoI,predict values,residuals,legend
office7_660_82_bout,192.86666666666667,192.81023199288683,-0.056434673779847344,Trainingoffice7
office7_660_82_aout,188.86111111111111,189.21079521306194,0.3496841019508281,Trainingoffice7
office7_660_164_bout,202.4833333333333,201.6910686000141,-0.7922647333192003,Trainingoffice7
office7_0_164_aout,194.57222222222225,194.19724629408196,-0.37497592814028735,Trainingoffice7
office7_0_82_aout,189.35555555555555,189.34342734500262,-0.01212821055293034,Trainingoffice7
office7_660_164_aout,186.66666666666669,186.96120368192305,0.2945370152563669,Trainingoffice7
office7_660_246_bout,215.9,214.78819674598907,-1.1118032540109368,Trainingoffice7
office7_360_246_bout,164.82222222222225,165.3000460112992,0.47782378907695033,Trainingoffice7
office7_960_82_aout,203.4,203.2487037277624,-0.15129627223760167,Trainingoffice7
office7_360_82_bout,172.6222222222222,173.31645799474185,0.6942357725196473,Trainingoffice7
office7_360_82_aout,180.90000000000003,181.4591265848469,0.5591265848468652,Trainingoffice7
office7_0_0,190.28333333333336,190.4675425400553,0.1842092067219312,Trainingoffice7
office7_960_164_bout,196.16111111111115,195.89536486684915,-0.26574624426200444,Trainingoffice7
office7_0_246_aout,202.81666666666663,201.86473899761285,-0.9519276690537879,Trainingoffice7
office7_360_164_aout,165.45,166.48315557245084,1.0331555724508519,Trainingoffice7
office7_360_0,156.09444444444443,157.416201885117,1.3217574406725703,Trainingoffice7
office7_0_82_bout,178.68333333333334,179.15168440537917,0.46835107204583437,Trainingoffice7
office7_960_246_aout,192.0833333333333,192.06449046414065,-0.018842869192639,Trainingoffice7
office7_960_164_aout,196.11666666666667,196.1334943423345,0.016827675667826725,Trainingoffice7
office7_0_164_bout,191.3,190.94356107207304,-0.3564389279269733,Trainingoffice7
office7_0_246_bout,192.2333333333333,191.7536009630103,-0.4797323703229779,Trainingoffice7
office7_960_82_bout,209.7277777777778,209.156902926566,-0.5708748512117836,Trainingoffice7
office7_660_0,183.9388888888889,184.42608620014718,0.487197311258285,Trainingoffice7
office7_360_246_aout,179.8388888888889,179.80745271737604,-0.031436171512865485,Trainingoffice7
office7_960_0,204.1222222222222,204.0085001117073,-0.11372211051491377,Trainingoffice7
office7_960_246_bout,205.7888888888889,204.94588501740185,-0.843003871487042,Trainingoffice7
office5_360_164_bout,184.3696969696969,184.8998884784204,0.5301915087235045,Trainingoffice5
office5_660_246_aout,196.3030303030303,194.94660636963715,-1.3564239333931596,Trainingoffice5
office5_660_82_bout,182.71515151515152,183.9176530765873,1.2025015614357812,Trainingoffice5
